0,22|0,49|0,17|519|870|845|117|190|361|1223|3489|9382|111
0,22|0,49|0,17|519|867|684|258|190|361|4694|3489|9382|63
0,22|0,49|0,17|905|870|845|117|190|361|4694|3489|9382|71
0,22|0,49|0,17|519|867|684|121|190|361|1223|3489|9382|153
0,22|0,49|0,17|519|867|684|258|190|361|4694|3489|9382|59
0,22|0,49|0,17|519|867|684|258|190|361|4694|3489|9382|54
0,22|0,49|0,17|519|867|684|258|190|361|4694|3489|9382|61
0,22|0,49|0,17|519|867|684|258|190|361|4694|3489|9382|66
0,22|0,49|0,17|519|870|845|117|190|361|1223|3489|9382|66
0,22|0,49|0,17|905|867|684|258|142|361|4694|3489|9382|71
0,22|0,49|0,17|519|867|684|258|190|361|4694|3489|9382|60
0,22|0,49|0,17|519|870|845|117|190|361|1223|3489|9382|454
