0,86|0,08|0,06|320|523|741|20|276|161|4684|9448|5867|1
0,4|0,51|0,1|718|727|640|472|363|370|5959|4640|1111|13
0,03|0,52|0,8|747|118|572|432|114|429|2563|5698|7946|0
0,65|0,08|0,34|705|842|706|259|327|41|850|8950|8278|23
0,16|0,48|0,36|134|574|416|87|389|330|3918|3334|592|0
0,22|0,35|0,09|629|557|579|468|447|413|4130|1413|5387|0
0,97|0,01|0,02|567|487|808|328|480|456|653|7130|6807|0
0,44|0,5|0,13|698|318|927|131|72|39|9556|8698|2804|0
0,4|0,46|0,52|692|862|679|343|356|378|9245|7127|4342|0
0,26|0,11|0,25|458|217|808|140|14|236|4863|4053|9994|0
0,71|0,07|0,02|756|373|525|412|360|11|7324|5272|2284|0
0,78|0,13|0,07|546|631|590|455|239|481|8415|8309|628|0
